Title,Repository,URL,Created Date,Labels,State,Comments Count
Create feature wishlist,A11yMapr/docs,https://github.com/A11yMapr/docs/issues/3,2025-05-05,"a11y, documentation, good first issue, help wanted, Accessibility",open,0
Draft project mission & scope,A11yMapr/docs,https://github.com/A11yMapr/docs/issues/2,2025-05-05,"a11y, documentation, good first issue, help wanted, Accessibility",open,0
Write Code of Conduct,A11yMapr/docs,https://github.com/A11yMapr/docs/issues/1,2025-05-05,"a11y, documentation, good first issue, help wanted, Accessibility",open,0
MenuToggle - add aria-haspopup prop,patternfly/patternfly-react,https://github.com/patternfly/patternfly-react/issues/11792,2025-04-29,"Good first issue, A11y, PF Team",open,0
[Spinner] - hardcoded aria-label attribute,patternfly/patternfly-react,https://github.com/patternfly/patternfly-react/issues/11750,2025-04-09,"Good first issue, A11y",open,5
Improve a11y csv import,digitalfabrik/entitlementcard,https://github.com/digitalfabrik/entitlementcard/issues/2010,2025-03-24,"Task, good first issue, web, a11y",open,0
Add aria-label for input field,digitalfabrik/entitlementcard,https://github.com/digitalfabrik/entitlementcard/issues/2005,2025-03-24,"Task, good first issue, a11y",open,0
[a11y] The aria attributes on the TI program application is incorrect,civiform/civiform,https://github.com/civiform/civiform/issues/9763,2025-02-19,"bug, good first issue, a11y, [Epic] North Star Applicant UI, triaged",open,0
Accessibility: text-transform affects the accessible name,fortanix/baklava,https://github.com/fortanix/baklava/issues/152,2025-02-18,"good first issue, a11y",open,0
[ic-page-header] bugfix slotted heading aria label,mi6/ic-ui-kit,https://github.com/mi6/ic-ui-kit/issues/3120,2025-01-30,"good first issue, a11y",open,0
[Grida Canvas] Better surface handle a11y - increase pointer event region,gridaco/grida,https://github.com/gridaco/grida/issues/226,2025-01-10,"enhancement, good first issue, canvas, a11y",open,0
[Grida Canvas] Tab / Shift + Tab A11y - Select next/prev sibling,gridaco/grida,https://github.com/gridaco/grida/issues/224,2025-01-10,"good first issue, a11y, hotkeys",open,0
Skeleton - at least one skeleton per example should include screen reader text,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7290,2025-01-09,"Good first issue, A11y, PF Team",open,1
List - examples should use unique aria labeling,patternfly/patternfly-react,https://github.com/patternfly/patternfly-react/issues/11396,2025-01-09,"Good first issue, A11y, PF Team",open,1
List - examples should have unique aria labeling,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7287,2025-01-09,"Good first issue, A11y, PF Team",open,1
JumpLinks - aria attributes need correction,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7286,2025-01-09,"Good first issue, A11y, PF Team",open,1
Title - examples should use heading elements,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7284,2025-01-09,"Good first issue, A11y, PF Team",open,1
Hint - kebab toggles should have unique accessible name in examples,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7283,2025-01-09,"Good first issue, A11y, PF Team",open,1
ExpandableSection - toggle text should be more descriptive,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7281,2025-01-09,"Good first issue, A11y, PF Team",open,1
ExpandableSection - examples missing aria attributes,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7280,2025-01-09,"Good first issue, A11y, PF Team",open,1
EmptyState - titles using incorrect heading level in examples,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7278,2025-01-08,"Good first issue, A11y, PF Team",open,1
